ui_path,object_id,widget_class,policy,notification_profile,exclusion_reason
basctl/uiconfig/basicide/ui/basicmacrodialog.ui,BasicMacroDialog,GtkDialog,bottom-right-notification-form,default,
basctl/uiconfig/basicide/ui/colorscheme.ui,ColorSchemeDialog,GtkDialog,bottom-right-notification-form,default,
basctl/uiconfig/basicide/ui/defaultlanguage.ui,DefaultLanguageDialog,GtkDialog,bottom-right-notification-form,default,
basctl/uiconfig/basicide/ui/deletelangdialog.ui,DeleteLangDialog,GtkMessageDialog,bottom-right-notification-form,default,
basctl/uiconfig/basicide/ui/exportdialog.ui,ExportDialog,GtkDialog,bottom-right-notification-form,default,
basctl/uiconfig/basicide/ui/gotolinedialog.ui,GotoLineDialog,GtkDialog,bottom-right-notification-form,default,
basctl/uiconfig/basicide/ui/importlibdialog.ui,ImportLibDialog,GtkDialog,bottom-right-notification-form,default,
basctl/uiconfig/basicide/ui/managebreakpoints.ui,ManageBreakpointsDialog,GtkDialog,bottom-right-notification-form,default,
basctl/uiconfig/basicide/ui/managelanguages.ui,ManageLanguagesDialog,GtkDialog,bottom-right-notification-form,default,
basctl/uiconfig/basicide/ui/newlibdialog.ui,NewLibDialog,GtkDialog,bottom-right-notification-form,default,
basctl/uiconfig/basicide/ui/organizedialog.ui,OrganizeDialog,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/3dviewdialog.ui,3DViewDialog,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/attributedialog.ui,AttributeDialog,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/chardialog.ui,CharDialog,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/chartdatadialog.ui,ChartDataDialog,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/charttypedialog.ui,ChartTypeDialog,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/datarangedialog.ui,DataRangeDialog,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/dlg_DataLabel.ui,dlg_DataLabels,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/dlg_InsertDataTable.ui,InsertDataTableDialog,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/dlg_InsertErrorBars.ui,dlg_InsertErrorBars,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/dlg_InsertLegend.ui,dlg_InsertLegend,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/insertaxisdlg.ui,InsertAxisDialog,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/insertgriddlg.ui,InsertGridDialog,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/inserttitledlg.ui,InsertTitleDialog,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/paradialog.ui,ParagraphDialog,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/smoothlinesdlg.ui,SmoothLinesDialog,GtkDialog,bottom-right-notification-form,default,
chart2/uiconfig/ui/steppedlinesdlg.ui,SteppedLinesDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/aboutconfigdialog.ui,AboutConfig,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/aboutdialog.ui,AboutDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/additionsdialog.ui,AdditionsDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/agingdialog.ui,AgingDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/areadialog.ui,AreaDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/assigncomponentdialog.ui,AssignComponent,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/autocorrectdialog.ui,AutoCorrectDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/baselinksdialog.ui,BaseLinksDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/borderareatransparencydialog.ui,BorderAreaTransparencyDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/borderbackgrounddialog.ui,BorderBackgroundDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/breaknumberoption.ui,BreakNumberOption,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/bulletandposition.ui,BulletAndPosition,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/calloutdialog.ui,CalloutDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/certdialog.ui,CertDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/colorpickerdialog.ui,ColorPicker,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/comment.ui,CommentDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/cuiimapdlg.ui,IMapDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/customizedialog.ui,CustomizeDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/databaselinkdialog.ui,DatabaseLinkDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/diagramdialog.ui,DiagramDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/editdictionarydialog.ui,EditDictionaryDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/editmodulesdialog.ui,EditModulesDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/embossdialog.ui,EmbossDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/eventassigndialog.ui,EventAssignDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/fileextcheckdialog.ui,FileExtCheckDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/fmsearchdialog.ui,RecordSearchDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/fontfeaturesdialog.ui,FontFeaturesDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/formatcellsdialog.ui,FormatCellsDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/formatnumberdialog.ui,FormatNumberDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/galleryapplyprogress.ui,GalleryApplyProgress,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/gallerysearchprogress.ui,GallerySearchProgress,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/gallerythemedialog.ui,GalleryThemeDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/gallerythemeiddialog.ui,GalleryThemeIDDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/gallerytitledialog.ui,GalleryTitleDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/galleryupdateprogress.ui,GalleryUpdateProgress,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/graphictestdlg.ui,GraphicTestsDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hangulhanjaadddialog.ui,HangulHanjaAddDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hangulhanjaconversiondialog.ui,HangulHanjaConversionDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hangulhanjaeditdictdialog.ui,HangulHanjaEditDictDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hangulhanjaoptdialog.ui,HangulHanjaOptDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hyperlinkdlg.ui,HyperlinkDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hyperlinkmarkdialog.ui,HyperlinkMark,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/hyphenate.ui,HyphenateDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/iconchangedialog.ui,IconChange,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/iconselectordialog.ui,IconSelector,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/imageviewer.ui,ImageViewerDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/insertfloatingframe.ui,InsertFloatingFrameDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/insertoleobject.ui,InsertOLEObjectDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/insertrowcolumn.ui,InsertRowColumnDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/javaclasspathdialog.ui,JavaClassPath,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/javastartparametersdialog.ui,JavaStartParameters,GtkDialog,bottom-right-notification-form,default,
